time,gFx,gFy,gFz,TgF,Activity,Subject
5.582462,0.3295,-0.4066,-0.8557,1.0,LAYING,LAKSH
5.598737,0.3286,-0.4073,-0.8535,1.0,LAYING,LAKSH
5.636257,0.3207,-0.4063,-0.8574,1.0,LAYING,LAKSH
5.64843,0.3239,-0.4035,-0.8587,1.0,LAYING,LAKSH
5.665006,0.3239,-0.4037,-0.8615,1.01,LAYING,LAKSH
5.682108,0.3281,-0.4051,-0.8615,1.01,LAYING,LAKSH
5.699243,0.3298,-0.4032,-0.8533,1.0,LAYING,LAKSH
5.731475,0.3244,-0.3963,-0.842,0.99,LAYING,LAKSH
5.754156,0.3158,-0.3981,-0.861,1.0,LAYING,LAKSH
5.765775,0.3124,-0.4007,-0.8647,1.0,LAYING,LAKSH
5.781131,0.3124,-0.4051,-0.8671,1.01,LAYING,LAKSH
5.815657,0.3121,-0.4083,-0.8596,1.0,LAYING,LAKSH
5.833213,0.3139,-0.4083,-0.8613,1.0,LAYING,LAKSH
5.856223,0.3127,-0.403,-0.861,1.0,LAYING,LAKSH
5.865106,0.3137,-0.4039,-0.8622,1.0,LAYING,LAKSH
5.881873,0.3129,-0.4032,-0.8613,1.0,LAYING,LAKSH
5.914744,0.3109,-0.4007,-0.8622,1.0,LAYING,LAKSH
5.933141,0.307,-0.4007,-0.8613,1.0,LAYING,LAKSH
5.951915,0.3095,-0.4022,-0.864,1.0,LAYING,LAKSH
5.966595,0.3088,-0.4024,-0.861,1.0,LAYING,LAKSH
5.982388,0.3092,-0.4032,-0.8601,1.0,LAYING,LAKSH
6.015221,0.3078,-0.401,-0.8606,1.0,LAYING,LAKSH
6.031554,0.3029,-0.3998,-0.865,1.0,LAYING,LAKSH
6.054252,0.3009,-0.403,-0.8638,1.0,LAYING,LAKSH
6.065893,0.2997,-0.4027,-0.8684,1.0,LAYING,LAKSH
6.097811,0.3009,-0.4024,-0.8667,1.0,LAYING,LAKSH
6.115803,0.3002,-0.4027,-0.8635,1.0,LAYING,LAKSH
6.13241,0.3004,-0.401,-0.8633,1.0,LAYING,LAKSH
6.151845,0.3004,-0.3991,-0.8643,1.0,LAYING,LAKSH
6.164358,0.2987,-0.4005,-0.8682,1.0,LAYING,LAKSH
6.198118,0.298,-0.403,-0.8671,1.0,LAYING,LAKSH
6.21482,0.2995,-0.403,-0.8667,1.0,LAYING,LAKSH
6.233825,0.2978,-0.4024,-0.8655,1.0,LAYING,LAKSH
6.250746,0.296,-0.4002,-0.8662,1.0,LAYING,LAKSH
6.264444,0.2934,-0.4005,-0.8684,1.0,LAYING,LAKSH
6.297338,0.2936,-0.4032,-0.8699,1.0,LAYING,LAKSH
6.316011,0.2923,-0.4044,-0.8677,1.0,LAYING,LAKSH
6.330994,0.2946,-0.4022,-0.8687,1.0,LAYING,LAKSH
6.356325,0.2927,-0.3975,-0.8696,1.0,LAYING,LAKSH
6.366045,0.2931,-0.3963,-0.8701,1.0,LAYING,LAKSH
6.397954,0.2951,-0.397,-0.8708,1.0,LAYING,LAKSH
6.415514,0.297,-0.3975,-0.8708,1.0,LAYING,LAKSH
6.431731,0.2985,-0.3991,-0.8647,1.0,LAYING,LAKSH
6.453015,0.2997,-0.3998,-0.8622,1.0,LAYING,LAKSH
6.481103,0.2953,-0.4007,-0.8664,1.0,LAYING,LAKSH
6.498075,0.2946,-0.3998,-0.8689,1.0,LAYING,LAKSH
6.513369,0.2946,-0.4012,-0.8726,1.0,LAYING,LAKSH
6.530472,0.2992,-0.4012,-0.8708,1.0,LAYING,LAKSH
6.554184,0.3026,-0.3988,-0.8557,0.99,LAYING,LAKSH
6.580212,0.2965,-0.3968,-0.8662,1.0,LAYING,LAKSH
6.596997,0.2916,-0.3975,-0.8745,1.0,LAYING,LAKSH
6.613267,0.2897,-0.401,-0.8762,1.01,LAYING,LAKSH
6.630554,0.2895,-0.4051,-0.875,1.01,LAYING,LAKSH
6.651656,0.2918,-0.4068,-0.8694,1.0,LAYING,LAKSH
6.680333,0.2943,-0.4019,-0.8691,1.0,LAYING,LAKSH
6.697307,0.2953,-0.4,-0.8694,1.0,LAYING,LAKSH
6.714544,0.2946,-0.3975,-0.8696,1.0,LAYING,LAKSH
6.756991,0.2972,-0.3986,-0.8674,1.0,LAYING,LAKSH
6.75765,0.2972,-0.3986,-0.8674,1.0,LAYING,LAKSH
6.780087,0.2983,-0.3979,-0.8667,1.0,LAYING,LAKSH
6.797748,0.3026,-0.4,-0.8647,1.0,LAYING,LAKSH
6.812924,0.3021,-0.3995,-0.8677,1.0,LAYING,LAKSH
6.837906,0.3056,-0.3998,-0.864,1.0,LAYING,LAKSH
6.864257,0.3036,-0.3968,-0.8657,1.0,LAYING,LAKSH
6.879192,0.2997,-0.3986,-0.8689,1.0,LAYING,LAKSH
6.896291,0.3019,-0.4035,-0.8684,1.0,LAYING,LAKSH
6.912677,0.3026,-0.4037,-0.8671,1.0,LAYING,LAKSH
6.940261,0.3065,-0.4047,-0.8633,1.0,LAYING,LAKSH
6.965732,0.3097,-0.4014,-0.8587,1.0,LAYING,LAKSH
6.978819,0.3104,-0.4012,-0.8594,1.0,LAYING,LAKSH
6.995782,0.3156,-0.3993,-0.8596,1.0,LAYING,LAKSH
7.032382,0.3165,-0.401,-0.861,1.0,LAYING,LAKSH
7.046133,0.3176,-0.4017,-0.8591,1.0,LAYING,LAKSH
7.061954,0.3195,-0.4019,-0.8574,1.0,LAYING,LAKSH
7.078884,0.3209,-0.3991,-0.8554,1.0,LAYING,LAKSH
7.095852,0.3227,-0.4005,-0.8574,1.0,LAYING,LAKSH
7.129082,0.3219,-0.4005,-0.8589,1.0,LAYING,LAKSH
7.148043,0.3232,-0.4037,-0.8584,1.0,LAYING,LAKSH
7.162716,0.3227,-0.4039,-0.8542,1.0,LAYING,LAKSH
7.178521,0.3261,-0.4032,-0.8566,1.0,LAYING,LAKSH
7.196956,0.3281,-0.4037,-0.8576,1.0,LAYING,LAKSH
7.229969,0.3295,-0.4027,-0.855,1.0,LAYING,LAKSH
7.249362,0.3286,-0.4035,-0.8562,1.0,LAYING,LAKSH
7.262278,0.331,-0.4035,-0.8535,1.0,LAYING,LAKSH
7.278583,0.3326,-0.4027,-0.851,1.0,LAYING,LAKSH
7.313839,0.3351,-0.403,-0.8479,1.0,LAYING,LAKSH
7.330065,0.3344,-0.4049,-0.8528,1.0,LAYING,LAKSH
